"Elizabeth","616719923X","These Kit-kats are very good, but if you're looking for a strong green tea flavor- you will be disappointed. The green tea flavor is very subtle.","4.0","Subtle","1378339200"
"lj","B00004S1C5","Used for making red and green caramel corn for Christmas. Wasn't sure how the food coloring would work with the caramel, but these created great, vibrant colors. (They did darken a little after baking the caramel corn, but were still fairly bright.)Great product and will last me a long time.","5.0","Only tested red and green, but did they worked great!","1369353600"
"xenofan","B00004S1C5","My only complaint about this product is that sometimes it is difficult to squeeze just a very small amount from the bottle into the mixture to be colored.  I don't do massive amounts of baking, and I find that sometimes it is really hard to get a very light color when adding this product to very small quantities of mixture.  However, the colors are very bright and I was very pleased to find that the color is evenly distributed throughout the mixture.  I thought this product was a little pricy, but after trying it out, I do believe that it was worth the extra money.  The product seems of high quality and it shows in my cooking whenever I want to add some color to things.","4.0","Very happy","1289865600"
"ivy","B00006IUTN","No. 1 One Cup Coffee Filters:  Received 40 filters to the case, 12 to a box.  The filters fit perfectly into the Black and Decker one cup coffee maker sold by Amazon. No problems with loose coffee grinds spilling over into the coffee maker.  Makes for quick and easy clean-up.  Just wait until cool enough to remove and drop into the trash.","5.0","Perfect Filters","1328486400"
"joan","B00006IUTN","These filters fit nicely inside my individual-sized ceramic beverage strainer.  Placed atop a coffee mug or teacup, the filter enables me to make coffee, or tea, minus coffee grounds or tea leaves in the end product!  Simply place the ground coffee or loose tea inside the filter, and pour in boiling water to fill the mug/cup.  Alternatively, if are serving a group, coffee can be prepared in a percolator & loose tea in a teapot...then, poured through filters into individual cups to remove any grounds/tealeaves. I became unable to locate the smaller sizes of these filters (such as this #1) in local retail stores years ago--and was thrilled to discover that Amazon could supply them.","5.0","Small Melitta Cone Filters","1372118400"
"diverdude","B0000CFLIL","I love these filters!  They work great in large applications and I cut them to fit my 4 cup maker as well and have had no issues!  Would buy again.","5.0","Good Quality and Value","1403049600"
"Misty","B0000CNU1S","Excellent price and the price is very reasonable. Have used this in several Asian recipes and going to try in more savory dishes.","5.0","Excellent","1362960000"
"stephanie","B0000DBN1L","Perfect Starbucks tea for at home, if you like the tea at the store you can't go wrong with this.","5.0","Perfect","1389312000"
"pumpkinspice","B0000DBN2I","Although it's called 'Wild Sweet Orange' I have yet to taste the sweetness. For the most part, it seems very tart to me. It's still a decent hot tea (and I bet it'd make a good iced tea too) but this really wasn't what I had expected.","3.0","Where is the sweetness?","1288137600"
"genie","B0000DD8V3","I found a fried chicken recipe that has a poultry seasoning in ingredients in it and so I bought this to try. My fried chicken is okay but not that great. So far, that is the only time I use this seasoning perhaps next time I will try it on roast chicken. Overall it was good.","4.0","it's good!","1311292800"
